n,Number of Operations
1,50
2,130
3,248
4,404
5,598
6,830
7,1100
8,1408
9,1754
10,2138
11,2560
12,3020
13,3518
14,4054
15,4628
16,5240
17,5890
18,6578
19,7304
20,8068
21,8870
22,9710
23,10588
24,11504
25,12458
26,13450
27,14480
28,15548
29,16654
30,17798
31,18980
32,20200
33,21458
34,22754
35,24088
36,25460
37,26870
38,28318
39,29804
40,31328
41,32890
42,34490
43,36128
44,37804
45,39518
46,41270
47,43060
48,44888
49,46754
50,48658
51,50600
52,52580
53,54598
54,56654
55,58748
56,60880
57,63050
58,65258
59,67504
60,69788
61,72110
62,74470
63,76868
64,79304
65,81778
66,84290
67,86840
68,89428
69,92054
70,94718
71,97420
72,100160
73,102938
74,105754
75,108608
76,111500
77,114430
78,117398
79,120404
80,123448
81,126530
82,129650
83,132808
84,136004
85,139238
86,142510
87,145820
88,149168
89,152554
90,155978
91,159440
92,162940
93,166478
94,170054
95,173668
96,177320
97,181010
98,184738
99,188504
100,192308
101,196150
102,200030
103,203948
104,207904
105,211898
106,215930
107,220000
108,224108
109,228254
110,232438
111,236660
112,240920
113,245218
114,249554
115,253928
116,258340
117,262790
118,267278
119,271804
120,276368
121,280970
122,285610
123,290288
124,295004
125,299758
126,304550
127,309380
128,314248
129,319154
130,324098
131,329080
132,334100
133,339158
134,344254
135,349388
136,354560
137,359770
138,365018
139,370304
140,375628
141,380990
142,386390
143,391828
144,397304
145,402818
146,408370
147,413960
148,419588
149,425254
150,430958
151,436700
152,442480
153,448298
154,454154
155,460048
156,465980
157,471950
158,477958
159,484004
160,490088
161,496210
162,502370
163,508568
164,514804
165,521078
166,527390
167,533740
168,540128
169,546554
170,553018
171,559520
172,566060
173,572638
174,579254
175,585908
176,592600
177,599330
178,606098
179,612904
180,619748
181,626630
182,633550
183,640508
184,647504
185,654538
186,661610
187,668720
188,675868
189,683054
190,690278
191,697540
192,704840
193,712178
194,719554
195,726968
196,734420
197,741910
198,749438
199,757004
200,764608
201,772250
202,779930
203,787648
204,795404
205,803198
206,811030
207,818900
208,826808
209,834754
210,842738
211,850760
212,858820
213,866918
214,875054
215,883228
216,891440
217,899690
218,907978
219,916304
220,924668
221,933070
222,941510
223,949988
224,958504
225,967058
226,975650
227,984280
228,992948
229,1001654
230,1010398
231,1019180
232,1028000
233,1036858
234,1045754
235,1054688
236,1063660
237,1072670
238,1081718
239,1090804
240,1099928
241,1109090
242,1118290
243,1127528
244,1136804
245,1146118
246,1155470
247,1164860
248,1174288
249,1183754
250,1193258
251,1202800
252,1212380
253,1221998
254,1231654
255,1241348
256,1251080
257,1260850
258,1270658
259,1280504
260,1290388
261,1300310
262,1310270
263,1320268
264,1330304
265,1340378
266,1350490
267,1360640
268,1370828
269,1381054
270,1391318
271,1401620
272,1411960
273,1422338
274,1432754
275,1443208
276,1453700
277,1464230
278,1474798
279,1485404
280,1496048
281,1506730
282,1517450
283,1528208
284,1539004
285,1549838
286,1560710
287,1571620
288,1582568
289,1593554
290,1604578
291,1615640
292,1626740
293,1637878
294,1649054
295,1660268
296,1671520
297,1682810
298,1694138
299,1705504
300,1716908
301,1728350
302,1739830
303,1751348
304,1762904
305,1774498
306,1786130
307,1797800
308,1809508
309,1821254
310,1833038
311,1844860
312,1856720
313,1868618
314,1880554
315,1892528
316,1904540
317,1916590
318,1928678
319,1940804
320,1952968
321,1965170
322,1977410
323,1989688
324,2002004
325,2014358
326,2026750
327,2039180
328,2051648
329,2064154
330,2076698
331,2089280
332,2101900
333,2114558
334,2127254
335,2139988
336,2152760
337,2165570
338,2178418
339,2191304
340,2204228
341,2217190
342,2230190
343,2243228
344,2256304
345,2269418
346,2282570
347,2295760
348,2308988
349,2322254
350,2335558
351,2348900
352,2362280
353,2375698
354,2389154
355,2402648
356,2416180
357,2429750
358,2443358
359,2457004
360,2470688
361,2484410
362,2498170
363,2511968
364,2525804
365,2539678
366,2553590
367,2567540
368,2581528
369,2595554
370,2609618
371,2623720
372,2637860
373,2652038
374,2666254
375,2680508
376,2694800
377,2709130
378,2723498
379,2737904
380,2752348
381,2766830
382,2781350
383,2795908
384,2810504
385,2825138
386,2839810
387,2854520
388,2869268
389,2884054
390,2898878
391,2913740
392,2928640
393,2943578
394,2958554
395,2973568
396,2988620
397,3003710
398,3018838
399,3034004
400,3049208
401,3064450
402,3079730
403,3095048
404,3110404
405,3125798
406,3141230
407,3156700
408,3172208
409,3187754
410,3203338
411,3218960
412,3234620
413,3250318
414,3266054
415,3281828
416,3297640
417,3313490
418,3329378
419,3345304
420,3361268
421,3377270
422,3393310
423,3409388
424,3425504
425,3441658
426,3457850
427,3474080
428,3490348
429,3506654
430,3522998
431,3539380
432,3555800
433,3572258
434,3588754
435,3605288
436,3621860
437,3638470
438,3655118
439,3671804
440,3688528
441,3705290
442,3722090
443,3738928
444,3755804
445,3772718
446,3789670
447,3806660
448,3823688
449,3840754
450,3857858
451,3875000
452,3892180
453,3909398
454,3926654
455,3943948
456,3961280
457,3978650
458,3996058
459,4013504
460,4030988
461,4048510
462,4066070
463,4083668
464,4101304
465,4118978
466,4136690
467,4154440
468,4172228
469,4190054
470,4207918
471,4225820
472,4243760
473,4261738
474,4279754
475,4297808
476,4315900
477,4334030
478,4352198
479,4370404
480,4388648
481,4406930
482,4425250
483,4443608
484,4462004
485,4480438
486,4498910
487,4517420
488,4535968
489,4554554
490,4573178
491,4591840
492,4610540
493,4629278
494,4648054
495,4666868
496,4685720
497,4704610
498,4723538
499,4742504
500,4761508
501,4780550
502,4799630
503,4818748
504,4837904
505,4857098
506,4876330
507,4895600
508,4914908
509,4934254
510,4953638
511,4973060
512,4992520
513,5012018
514,5031554
515,5051128
516,5070740
517,5090390
518,5110078
519,5129804
520,5149568
521,5169370
522,5189210
523,5209088
524,5229004
525,5248958
526,5268950
527,5288980
528,5309048
529,5329154
530,5349298
531,5369480
532,5389700
533,5409958
534,5430254
535,5450588
536,5470960
537,5491370
538,5511818
539,5532304
540,5552828
541,5573390
542,5593990
543,5614628
544,5635304
545,5656018
546,5676770
547,5697560
548,5718388
549,5739254
550,5760158
551,5781100
552,5802080
553,5823098
554,5844154
555,5865248
556,5886380
557,5907550
558,5928758
559,5950004
560,5971288
561,5992610
562,6013970
563,6035368
564,6056804
565,6078278
566,6099790
567,6121340
568,6142928
569,6164554
570,6186218
571,6207920
572,6229660
573,6251438
574,6273254
575,6295108
576,6317000
577,6338930
578,6360898
579,6382904
580,6404948
581,6427030
582,6449150
583,6471308
584,6493504
585,6515738
586,6538010
587,6560320
588,6582668
589,6605054
590,6627478
591,6649940
592,6672440
593,6694978
594,6717554
595,6740168
596,6762820
597,6785510
598,6808238
599,6831004
600,6853808
601,6876650
602,6899530
603,6922448
604,6945404
605,6968398
606,6991430
607,7014500
608,7037608
609,7060754
610,7083938
611,7107160
612,7130420
613,7153718
614,7177054
615,7200428
616,7223840
617,7247290
618,7270778
619,7294304
620,7317868
621,7341470
622,7365110
623,7388788
624,7412504
625,7436258
626,7460050
627,7483880
628,7507748
629,7531654
630,7555598
631,7579580
632,7603600
633,7627658
634,7651754
635,7675888
636,7700060
637,7724270
638,7748518
639,7772804
640,7797128
641,7821490
642,7845890
643,7870328
644,7894804
645,7919318
646,7943870
647,7968460
648,7993088
649,8017754
650,8042458
651,8067200
652,8091980
653,8116798
654,8141654
655,8166548
656,8191480
657,8216450
658,8241458
659,8266504
660,8291588
661,8316710
662,8341870
663,8367068
664,8392304
665,8417578
666,8442890
667,8468240
668,8493628
669,8519054
670,8544518
671,8570020
672,8595560
673,8621138
674,8646754
675,8672408
676,8698100
677,8723830
678,8749598
679,8775404
680,8801248
681,8827130
682,8853050
683,8879008
684,8905004
685,8931038
686,8957110
687,8983220
688,9009368
689,9035554
690,9061778
691,9088040
692,9114340
693,9140678
694,9167054
695,9193468
696,9219920
697,9246410
698,9272938
699,9299504
700,9326108
701,9352750
702,9379430
703,9406148
704,9432904
705,9459698
706,9486530
707,9513400
708,9540308
709,9567254
710,9594238
711,9621260
712,9648320
713,9675418
714,9702554
715,9729728
716,9756940
717,9784190
718,9811478
719,9838804
720,9866168
721,9893570
722,9921010
723,9948488
724,9976004
725,10003558
726,10031150
727,10058780
728,10086448
729,10114154
730,10141898
731,10169680
732,10197500
733,10225358
734,10253254
735,10281188
736,10309160
737,10337170
738,10365218
739,10393304
740,10421428
741,10449590
742,10477790
743,10506028
744,10534304
745,10562618
746,10590970
747,10619360
748,10647788
749,10676254
750,10704758
751,10733300
752,10761880
753,10790498
754,10819154
755,10847848
756,10876580
757,10905350
758,10934158
759,10963004
760,10991888
761,11020810
762,11049770
763,11078768
764,11107804
765,11136878
766,11165990
767,11195140
768,11224328
769,11253554
770,11282818
771,11312120
772,11341460
773,11370838
774,11400254
775,11429708
776,11459200
777,11488730
778,11518298
779,11547904
780,11577548
781,11607230
782,11636950
783,11666708
784,11696504
785,11726338
786,11756210
787,11786120
788,11816068
789,11846054
790,11876078
791,11906140
792,11936240
793,11966378
794,11996554
795,12026768
796,12057020
797,12087310
798,12117638
799,12148004
800,12178408
801,12208850
802,12239330
803,12269848
804,12300404
805,12330998
806,12361630
807,12392300
808,12423008
809,12453754
810,12484538
811,12515360
812,12546220
813,12577118
814,12608054
815,12639028
816,12670040
817,12701090
818,12732178
819,12763304
820,12794468
821,12825670
822,12856910
823,12888188
824,12919504
825,12950858
826,12982250
827,13013680
828,13045148
829,13076654
830,13108198
831,13139780
832,13171400
833,13203058
834,13234754
835,13266488
836,13298260
837,13330070
838,13361918
839,13393804
840,13425728
841,13457690
842,13489690
843,13521728
844,13553804
845,13585918
846,13618070
847,13650260
848,13682488
849,13714754
850,13747058
851,13779400
852,13811780
853,13844198
854,13876654
855,13909148
856,13941680
857,13974250
858,14006858
859,14039504
860,14072188
861,14104910
862,14137670
863,14170468
864,14203304
865,14236178
866,14269090
867,14302040
868,14335028
869,14368054
870,14401118
871,14434220
872,14467360
873,14500538
874,14533754
875,14567008
876,14600300
877,14633630
878,14666998
879,14700404
880,14733848
881,14767330
882,14800850
883,14834408
884,14868004
885,14901638
886,14935310
887,14969020
888,15002768
889,15036554
890,15070378
891,15104240
892,15138140
893,15172078
894,15206054
895,15240068
896,15274120
897,15308210
898,15342338
899,15376504
900,15410708
901,15444950
902,15479230
903,15513548
904,15547904
905,15582298
906,15616730
907,15651200
908,15685708
909,15720254
910,15754838
911,15789460
912,15824120
913,15858818
914,15893554
915,15928328
916,15963140
917,15997990
918,16032878
919,16067804
920,16102768
921,16137770
922,16172810
923,16207888
924,16243004
925,16278158
926,16313350
927,16348580
928,16383848
929,16419154
930,16454498
931,16489880
932,16525300
933,16560758
934,16596254
935,16631788
936,16667360
937,16702970
938,16738618
939,16774304
940,16810028
941,16845790
942,16881590
943,16917428
944,16953304
945,16989218
946,17025170
947,17061160
948,17097188
949,17133254
950,17169358
951,17205500
952,17241680
953,17277898
954,17314154
955,17350448
956,17386780
957,17423150
958,17459558
959,17496004
960,17532488
961,17569010
962,17605570
963,17642168
964,17678804
965,17715478
966,17752190
967,17788940
968,17825728
969,17862554
970,17899418
971,17936320
972,17973260
973,18010238
974,18047254
975,18084308
976,18121400
977,18158530
978,18195698
979,18232904
980,18270148
981,18307430
982,18344750
983,18382108
984,18419504
985,18456938
986,18494410
987,18531920
988,18569468
989,18607054
990,18644678
991,18682340
992,18720040
993,18757778
994,18795554
995,18833368
996,18871220
997,18909110
998,18947038
999,18985004
1000,19023008
